'Date (YYYY-MM-DD HH:MM:SS),'Date Millisecond Offset,'Date (J2000 mseconds),'Tx ADC Temperature(°C),'PA Forward Power(V),'PA Reverse Power(V),'PA Control Signal(V),'3V Analog Supply Current PA(mA),'5V Supply(V),'Synthesizer Temperature(°C),'3V Analog Supply Voltage PA(V),'Power Amplifier Temperature(°C),'5V Supply Current(mA),'3V Analog Supply Current CB(mA),'3V VCO Supply Current(mA),'3V Digital Supply Current(mA),'Synthesizer Lock A(V),'Synthesizer Lock B(V),'3V Analog Supply Voltage CB(V),'3V Digital Supply Voltage CB(V)
2014-01-03 11:36:53,300,442021080484,6.25,0.0036621,1.12671,0.0109863,92.575,4.9585,5.17051,2.95654,3.33946,478.144,144.775,39.9049,9.84126,2.95401,2.94098,2.9724,2.98827
2014-01-03 11:37:53,659,442021140843,7.75,2.04956,1.13891,0.0109863,92.131,4.9585,7.00157,2.95409,4.56016,470.573,146.973,39.9604,9.16971,2.95319,2.94098,2.97118,2.98827
2014-01-03 11:38:55,144,442021202328,9.875,0.0842283,1.13281,1.30188,94.906,4.9585,8.83262,2.95287,5.17051,478.632,145.508,39.8494,9.41391,2.95319,2.94017,2.96996,2.98705
2014-01-03 11:39:55,608,442021262792,11.375,1.98974,1.13342,2.00134,96.016,4.95606,10.0533,2.95287,5.17051,480.097,146.973,39.8494,9.32844,2.95156,2.93935,2.96996,2.98705
2014-01-03 11:40:56,939,442021324123,12.375,0.0036621,1.08032,0.0128173,92.686,4.95606,10.6637,2.95165,5.78086,471.794,147.705,39.6274,9.24297,2.95156,2.93854,2.96874,2.98705
2014-01-03 11:41:57,122,442021384306,13.5,2.1173,1.14929,2.11669,96.0715,4.95606,11.8844,2.95165,6.39122,462.759,147.827,40.0159,9.05982,2.95075,2.93854,2.96874,2.98583
2014-01-03 11:42:57,530,442021444714,14.375,0.0036621,1.1261,0.0109863,92.908,4.95606,12.4947,2.95165,6.39122,476.678,148.682,40.0159,9.10866,2.95075,2.93773,2.96874,2.98583
2014-01-03 11:43:58,823,442021506007,14.875,0.0036621,1.12365,0.0115967,93.13,4.95606,13.1051,2.95043,7.00157,474.725,148.315,39.6829,9.0354,2.95075,2.93691,2.96752,2.98583
2014-01-03 11:44:59,267,442021566451,15.25,0.947263,1.13525,2.03186,95.905,4.95606,13.7154,2.95043,7.00157,469.352,148.926,39.7939,9.08424,2.94994,2.93691,2.96752,2.98583
2014-01-03 11:45:59,501,442021626685,16,0.0036621,1.11206,0.0128173,92.575,4.95362,14.3258,2.95043,7.61192,468.131,147.827,40.0714,9.45054,2.95075,2.93691,2.96752,2.98583
2014-01-03 11:47:00,806,442021687990,16.625,0.0036621,1.11938,0.0109863,92.797,4.95362,14.9361,2.95043,7.61192,473.504,148.804,39.9604,9.01098,2.94994,2.93691,2.9663,2.98461
2014-01-03 11:48:01,116,442021748300,17,0.184326,1.13281,1.21032,94.5175,4.95606,14.9361,2.95043,8.22227,484.981,149.658,40.0714,9.24297,2.94994,2.93691,2.9663,2.98461
2014-01-03 11:49:01,303,442021808487,17.375,2.11975,1.13891,2.11914,97.0705,4.95606,15.5465,2.94921,8.83262,474.236,149.78,39.8494,9.0354,2.94994,2.93691,2.9663,2.98583
2014-01-03 11:50:01,704,442021868888,17.75,0.0036621,1.12488,0.475463,94.795,4.95362,16.1568,2.94921,8.83262,476.923,149.414,39.7939,9.02319,2.94994,2.93691,2.9663,2.98461
2014-01-03 11:51:02,903,442021930087,18.125,0.00305175,1.12915,0.0115967,93.685,4.95362,16.7672,2.94921,9.44298,482.051,148.437,39.7939,9.32844,2.94994,2.93691,2.9663,2.98461
2014-01-03 11:52:03,80,442021990264,18.875,0.0036621,1.10962,0.0115967,92.7415,4.95606,16.7672,2.94921,10.0533,451.037,149.658,39.5719,8.99877,2.94994,2.93691,2.9663,2.98583
2014-01-03 08:19:55,522,442009262706,6.625,2.11547,1.13647,0.0115967,92.02,4.9585,5.17051,2.95531,3.33946,480.83,145.142,39.9049,9.34065,2.95401,2.94098,2.97118,2.98827
2014-01-03 08:20:55,831,442009323015,8.25,2.11608,1.13647,2.11608,95.4055,4.95606,7.00157,2.95409,3.94981,481.807,145.874,39.7939,9.6459,2.95238,2.93935,2.96996,2.98705
2014-01-03 08:21:56,906,442009384090,10,0.00549315,1.13525,1.87194,95.1835,4.95606,8.22227,2.95287,4.56016,479.853,147.095,40.1269,9.16971,2.95156,2.93935,2.96996,2.98705
2014-01-03 08:22:57,273,442009444457,11.25,0.00427245,1.12976,0.0115967,92.4085,4.95606,10.0533,2.95165,5.17051,475.213,146.118,40.0159,9.59706,2.95156,2.93854,2.96874,2.98583
2014-01-03 08:23:57,533,442009504717,12,0.00305175,1.12732,0.0115967,92.797,4.95362,10.6637,2.95165,5.17051,467.887,146.973,39.9049,9.54822,2.95156,2.93854,2.96874,2.98583
2014-01-03 08:18:55,55,442009202239,5,0.0036621,1.11389,0.0115967,92.464,4.9585,3.33946,2.95654,2.11875,460.073,144.775,39.8494,9.38949,2.95482,2.9418,2.9724,2.98949
